CheckpointID,View,Level 1,Level 1 Code,Level 2,Level 2 Code,Level 3,Level 3 Code,Level 4,Level 4 Code,Amount
Current,31,2015-16,54756760,Corporate Services,,Communications & Media,973983488,Supplier Costs,,"1,161,754.00"
Current,31,2015-16,54756760,Corporate Services,,Contact Centres,916531712,Consultants,,"1,018.15"
Current,31,2015-16,54756760,Corporate Services,,Contact Centres,916531712,Contractor Costs,,"397,463.20"
Current,31,2015-16,54756760,Corporate Services,,Contact Centres,916531712,Employee Costs,,"799,952.50"
Current,31,2015-16,54756760,Corporate Services,,Contact Centres,916531712,Supplier Costs,,"199,037.40"
Current,31,2015-16,54756760,Corporate Services,,Fleet Management,354466272,Consultants,,63.05
Current,31,2015-16,54756760,Corporate Services,,Fleet Management,354466272,Employee Costs,,"65,575.96"
Current,31,2015-16,54756760,Corporate Services,,Fleet Management,354466272,Supplier Costs,,"12,422.76"
Current,31,2015-16,54756760,Corporate Services,,Information Management,775083328,Consultants,,895.75
Current,31,2015-16,54756760,Corporate Services,,Information Management,775083328,Employee Costs,,"917,655.90"
Current,31,2015-16,54756760,Corporate Services,,Information Management,775083328,Supplier Costs,,"176,392.80"
Current,31,2015-16,54756760,Corporate Services,,Legal Services,18343866,Consultants,,"195,373.20"
Current,31,2015-16,54756760,Corporate Services,,Legal Services,18343866,Contractor Costs,,"67,016.81"
Current,31,2015-16,54756760,Corporate Services,,Legal Services,18343866,Employee Costs,,"1,648,230.00"
Current,31,2015-16,54756760,Corporate Services,,Legal Services,18343866,Supplier Costs,,"329,732.00"
Current,31,2015-16,54756760,Corporate Services,,Assurance & Audit,683816448,Consultants,,"203,598.50"
Current,31,2015-16,54756760,Corporate Services,,Assurance & Audit,683816448,Contractor Costs,,"5,790.12"
Current,31,2015-16,54756760,Corporate Services,,Assurance & Audit,683816448,Employee Costs,,"1,112,193.00"
Current,31,2015-16,54756760,Corporate Services,,Assurance & Audit,683816448,Supplier Costs,,"634,773.60"
Current,31,2015-16,54756760,Corporate Services,,Other Corporate Services,866214144,Consultants,,"1,958.94"
Current,31,2015-16,54756760,Corporate Services,,Other Corporate Services,866214144,Contractor Costs,,"5,994.51"
Current,31,2015-16,54756760,Corporate Services,,Other Corporate Services,866214144,Employee Costs,,"1,037,176.00"
Current,31,2015-16,54756760,Corporate Services,,Other Corporate Services,866214144,Supplier Costs,,"218,980.60"
Current,31,2015-16,54756760,Corporate Services,,Parliamentary Services,791444864,Consultants,,"1,240.69"
Current,31,2015-16,54756760,Corporate Services,,Parliamentary Services,791444864,Contractor Costs,,"11,339.06"
Current,31,2015-16,54756760,Corporate Services,,Parliamentary Services,791444864,Employee Costs,,"1,449,357.00"
Current,31,2015-16,54756760,Corporate Services,,Parliamentary Services,791444864,Supplier Costs,,"319,900.30"
Current,31,2015-16,54756760,Corporate Services,,Property Services,953435904,Consultants,,723.27
Current,31,2015-16,54756760,Corporate Services,,Property Services,953435904,Employee Costs,,"740,702.40"
Current,31,2015-16,54756760,Corporate Services,,Property Services,953435904,Supplier Costs,,"142,427.40"
Current,33,2015-16,54756760,Corporate Services,,Fleet Management,354466272,Employee Costs,,0.53
Current,10, Ungrouped,-3, Unclassified,,Accounts Payable,01.02.01.00,Accounts Payable,01.02.01,"417,423.90"
Current,10, Ungrouped,-3, Unclassified,,Accounts Payable,01.02.01.00,All Corporate Services Overheads,02.01.01,"100,456.50"
Current,10, Ungrouped,-3, Unclassified,,Accounts Receivable,01.02.02.00,Accounts Receivable,01.02.02,"174,003.80"
Current,10, Ungrouped,-3, Unclassified,,Accounts Receivable,01.02.02.00,All Corporate Services Overheads,02.01.01,"42,009.08"
Current,10, Ungrouped,-3, Unclassified,,Asset Management,01.02.03.00,All Corporate Services Overheads,02.01.01,"42,009.08"
Current,10, Ungrouped,-3, Unclassified,,Asset Management,01.02.03.00,Asset Management,01.02.03,"174,003.80"
Current,10, Ungrouped,-3, Unclassified,,Assurance & Audit,01.01.01.00,All Corporate Services Overheads,02.01.01,"250,228.00"
Current,10, Ungrouped,-3, Unclassified,,Assurance & Audit,01.01.01.00,Assurance & Audit,01.01.01,"1,706,127.00"
Current,10, Ungrouped,-3, Unclassified,,Budgeting,01.02.04.00,All Corporate Services Overheads,02.01.01,"160,273.80"
Current,10, Ungrouped,-3, Unclassified,,Budgeting,01.02.04.00,Budgeting,01.02.04,"665,009.00"
Current,10, Ungrouped,-3, Unclassified,,Communications & Media,01.01.02.00,All Corporate Services Overheads,02.01.01,"283,104.70"
Current,10, Ungrouped,-3, Unclassified,,Communications & Media,01.01.02.00,Communications & Media,01.01.02,"2,147,819.00"
Current,10, Ungrouped,-3, Unclassified,,Contact Centres,01.01.03.00,All Corporate Services Overheads,02.01.01,"250,684.60"
Current,10, Ungrouped,-3, Unclassified,,Contact Centres,01.01.03.00,Contact Centres,01.01.03,"1,146,787.00"
Current,10, Ungrouped,-3, Unclassified,,Contract Management & Procurement,01.02.05.00,All Corporate Services Overheads,02.01.01,"217,807.90"
Current,10, Ungrouped,-3, Unclassified,,Contract Management & Procurement,01.02.05.00,Contract Management & Procurement,01.02.05,"898,419.10"
Current,10, Ungrouped,-3, Unclassified,,Credit Card Management,01.02.06.00,All Corporate Services Overheads,02.01.01,"15,525.09"
Current,10, Ungrouped,-3, Unclassified,,Credit Card Management,01.02.06.00,Credit Card Management,01.02.06,"65,251.41"
Current,10, Ungrouped,-3, Unclassified,,Employee Relations,01.03.01.00,All Corporate Services Overheads,02.01.01,"249,314.80"
Current,10, Ungrouped,-3, Unclassified,,Employee Relations,01.03.01.00,Employee Relations,01.03.01,"1,156,759.00"
Current,10, Ungrouped,-3, Unclassified,,ERP - Aurion,03.01.05.00,ERP - Aurion,03.01.05,"341,243.00"
Current,10, Ungrouped,-3, Unclassified,,ERP - SAP,03.01.04.00,ERP - SAP,03.01.04,"1,514,525.00"
Current,10, Ungrouped,-3, Unclassified,,Financial Policy & Advice,01.02.07.00,All Corporate Services Overheads,02.01.01,"79,908.57"
Current,10, Ungrouped,-3, Unclassified,,Financial Policy & Advice,01.02.07.00,Financial Policy & Advice,01.02.07,"406,459.50"
Current,10, Ungrouped,-3, Unclassified,,Financial Reporting,01.02.08.00,All Corporate Services Overheads,02.01.01,"314,154.80"
Current,10, Ungrouped,-3, Unclassified,,Financial Reporting,01.02.08.00,Financial Reporting,01.02.08,"1,427,201.00"
Current,10, Ungrouped,-3, Unclassified,,Fleet Management,01.01.04.00,All Corporate Services Overheads,02.01.01,"15,525.09"
Current,10, Ungrouped,-3, Unclassified,,Fleet Management,01.01.04.00,Fleet Management,01.01.04,"62,536.68"
Current,10, Ungrouped,-3, Unclassified,,HR Policy & Advice,01.03.02.00,All Corporate Services Overheads,02.01.01,"58,904.03"
Current,10, Ungrouped,-3, Unclassified,,HR Policy & Advice,01.03.02.00,HR Policy & Advice,01.03.02,"272,820.40"
Current,10, Ungrouped,-3, Unclassified,,HR Reporting & Analysis,01.03.03.00,All Corporate Services Overheads,02.01.01,"89,497.60"
Current,10, Ungrouped,-3, Unclassified,,HR Reporting & Analysis,01.03.03.00,HR Reporting & Analysis,01.03.03,"414,687.10"
Current,10, Ungrouped,-3, Unclassified,,HR Strategy & Planning,01.03.04.00,All Corporate Services Overheads,02.01.01,"132,876.50"
Current,10, Ungrouped,-3, Unclassified,,HR Strategy & Planning,01.03.04.00,HR Strategy & Planning,01.03.04,"616,574.20"
Current,10, Ungrouped,-3, Unclassified,,Information Management,01.01.05.00,All Corporate Services Overheads,02.01.01,"220,547.70"
Current,10, Ungrouped,-3, Unclassified,,Information Management,01.01.05.00,Information Management,01.01.05,"874,396.80"
Current,10, Ungrouped,-3, Unclassified,,Learning & Development,01.03.05.00,All Corporate Services Overheads,02.01.01,"237,899.20"
Current,10, Ungrouped,-3, Unclassified,,Learning & Development,01.03.05.00,Learning & Development,01.03.05,"2,811,693.00"
Current,10, Ungrouped,-3, Unclassified,,Ledger Management,01.02.09.00,All Corporate Services Overheads,02.01.01,"94,977.04"
Current,10, Ungrouped,-3, Unclassified,,Ledger Management,01.02.09.00,Ledger Management,01.02.09,"395,673.40"
Current,10, Ungrouped,-3, Unclassified,,Legal Services,01.01.06.00,All Corporate Services Overheads,02.01.01,"381,278.10"
Current,10, Ungrouped,-3, Unclassified,,Legal Services,01.01.06.00,Legal Services,01.01.06,"1,859,074.00"
Current,10, Ungrouped,-3, Unclassified,,Major Projects1,04.01.01.00,Major Projects1,04.01.01,"8,242,694.00"
Current,10, Ungrouped,-3, Unclassified,,Other Corporate Services,01.01.07.00,All Corporate Services Overheads,02.01.01,"212,785.10"
Current,10, Ungrouped,-3, Unclassified,,Other Corporate Services,01.01.07.00,Other Corporate Services,01.01.07,"1,051,326.00"
Current,10, Ungrouped,-3, Unclassified,,Other Financial Services,01.02.10.00,All Corporate Services Overheads,02.01.01,"44,748.80"
Current,10, Ungrouped,-3, Unclassified,,Other Financial Services,01.02.10.00,Other Financial Services,01.02.10,"186,961.50"
Current,10, Ungrouped,-3, Unclassified,,Other HR Services,01.03.06.00,All Corporate Services Overheads,02.01.01,"118,721.30"
Current,10, Ungrouped,-3, Unclassified,,Other HR Services,01.03.06.00,Other HR Services,01.03.06,"551,097.30"
Current,10, Ungrouped,-3, Unclassified,,Other Non Corporate - Comcare Premium,05.01.01.00,Other Non Corporate - Comcover Premium,05.01.01,"415,170.50"
Current,10, Ungrouped,-3, Unclassified,,Other Non Corporate - Comcover Premium,05.01.02.00,Other Non Corporate - Comcare Premium,05.01.02,"3,137,633.00"
Current,10, Ungrouped,-3, Unclassified,,Other Non Corporate - Other,05.01.04.00,Other Non Corporate - Other,05.01.04,"24,717,050.00"
Current,10, Ungrouped,-3, Unclassified,,Other Non Corporate - POE,05.01.03.00,Other Non Corporate - POE,05.01.03,"11,766,880.00"
Current,10, Ungrouped,-3, Unclassified,,Parliamentary Services,01.01.08.00,All Corporate Services Overheads,02.01.01,"305,479.10"
Current,10, Ungrouped,-3, Unclassified,,Parliamentary Services,01.01.08.00,Parliamentary Services,01.01.08,"1,476,358.00"
Current,10, Ungrouped,-3, Unclassified,,Pass Through - Depreciation/Amortisation,06.01.01.00,Pass Through - Depreciation/Amortisation,06.01.01,"-12,225.59"
Current,10, Ungrouped,-3, Unclassified,,Pass Through - NBV of assets sold,06.01.02.00,Pass Through - NBV of assets sold,06.01.02,"18,020.47"
Current,10, Ungrouped,-3, Unclassified,,Pay & Conditions,01.03.07.00,All Corporate Services Overheads,02.01.01,"236,529.40"
Current,10, Ungrouped,-3, Unclassified,,Pay & Conditions,01.03.07.00,Pay & Conditions,01.03.07,"960,327.90"
Current,10, Ungrouped,-3, Unclassified,,Property Services,01.01.09.00,All Corporate Services Overheads,02.01.01,"178,082.00"
Current,10, Ungrouped,-3, Unclassified,,Property Services,01.01.09.00,Property Services,01.01.09,"705,771.10"
Current,10, Ungrouped,-3, Unclassified,,Recruitment,01.03.09.00,All Corporate Services Overheads,02.01.01,"118,721.30"
Current,10, Ungrouped,-3, Unclassified,,Recruitment,01.03.09.00,Recruitment,01.03.09,"551,097.30"
Current,10, Ungrouped,-3, Unclassified,,Taxation,01.02.11.00,All Corporate Services Overheads,02.01.01,"34,703.15"
Current,10, Ungrouped,-3, Unclassified,,Taxation,01.02.11.00,Taxation,01.02.11,"143,460.50"
Current,10, Ungrouped,-3, Unclassified,,Travel,01.02.12.00,All Corporate Services Overheads,02.01.01,"15,525.09"
Current,10, Ungrouped,-3, Unclassified,,Travel,01.02.12.00,Travel,01.02.12,"62,536.68"
Current,10, Ungrouped,-3, Unclassified,,Treasury,01.02.13.00,All Corporate Services Overheads,02.01.01,"63,926.86"
Current,10, Ungrouped,-3, Unclassified,,Treasury,01.02.13.00,Treasury,01.02.13,"265,170.60"
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Assurance & Audit,,Spec Rate (Hours of Service),,182.27
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Communications & Media,,Spec Rate (Hours of Service),,200.39
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Contact Centres,,Spec Rate (Jobs logged),,15.62
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Fleet Management,,Spec Rate (Vehicles),,"3,002.38"
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Information Management,,Spec Rate (Hours of Service),,115.63
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Legal Services,,Spec Rate (Hours of Service),,137.06
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Other Corporate Services,,Spec Rate (Hours of Service),,138.43
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Parliamentary Services,,Spec Rate (Parliamentary Records),,247.58
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Property Services,,Spec Rate (Lease Cost%),,0.05
Current,4,01.02.Financial Services,862492800,Financial Services,,Accounts Payable,,Spec Rate (Manual Invoices),,37.47
Current,4,01.02.Financial Services,862492800,Financial Services,,Accounts Receivable,,Spec Rate (Documents Processed),,27.58
Current,4,01.02.Financial Services,862492800,Financial Services,,Asset Management,,Spec Rate (Active Assets),,148.77
Current,4,01.02.Financial Services,862492800,Financial Services,,Budgeting,,Spec Rate (Hours of Service),,120.29
Current,4,01.02.Financial Services,862492800,Financial Services,,Contract Management & Procurement,,Spec Rate (Hours of Service),,119.67
Current,4,01.02.Financial Services,862492800,Financial Services,,Credit Card Management,,Spec Rate (Credit Cards),,394.03
Current,4,01.02.Financial Services,862492800,Financial Services,,Financial Policy & Advice,,Spec Rate (Hours of Service),,142.33
Current,4,01.02.Financial Services,862492800,Financial Services,,Financial Reporting,,Spec Rate (Hours of Service),,118.26
Current,4,01.02.Financial Services,862492800,Financial Services,,Ledger Management,,Spec Rate (Hours of Service),,120.19
Current,4,01.02.Financial Services,862492800,Financial Services,,Other Financial Services,,Spec Rate (Hours of Service),,120.13
Current,4,01.02.Financial Services,862492800,Financial Services,,Taxation,,Spec Rate (Hours of Service),,120.37
Current,4,01.02.Financial Services,862492800,Financial Services,,Travel,,Spec Rate (Trips),,37.89
Current,4,01.02.Financial Services,862492800,Financial Services,,Treasury,,Spec Rate (Hours of Service),,120.3
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,Employee Relations,,Spec Rate (Hours of Service),,131.43
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,HR Policy & Advice,,Spec Rate (Hours of Service),,131.47
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,HR Reporting & Analysis,,Spec Rate (Hours of Service),,131.46
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,HR Strategy & Planning,,Spec Rate (Hours of Service),,131.43
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,Learning & Development,,Spec Rate (Hours of Service),,298.98
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,Other HR Services,,Spec Rate (Hours of Service),,131.42
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,Pay & Conditions,,Spec Rate (Pays),,23.55
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,Recruitment,,Spec Rate (Recruitments),,"2,225.31"
Current,4,03.01.ERP Services,965260992,ERP,,ERP - Aurion,,Spec Rate (),,0
Current,4,03.01.ERP Services,965260992,ERP,,ERP - SAP,,Spec Rate (),,0
Current,4,04.01.Major Projects,260293120,Major Projects,,Major Projects1,,Spec Rate (Total Cost),,0
Current,4,04.01.Major Projects,260293120,Major Projects,,Major Projects2,,Spec Rate (Total Cost),,0
Current,4,04.01.Major Projects,260293120,Major Projects,,Major Projects3,,Spec Rate (Total Cost),,0
Current,4,04.01.Major Projects,260293120,Major Projects,,Major Projects4,,Spec Rate (Total Cost),,0
Current,4,04.01.Major Projects,260293120,Major Projects,,Major Projects5,,Spec Rate (Total Cost),,0
Current,4,05.01.Other Non Corporate,118844744,Other Non Corporate,,Other Non Corporate - Comcare Premium,,Spec Rate (Total Cost),,0
Current,4,05.01.Other Non Corporate,118844744,Other Non Corporate,,Other Non Corporate - Comcover Premium,,Spec Rate (Total Cost),,0
Current,4,05.01.Other Non Corporate,118844744,Other Non Corporate,,Other Non Corporate - Other,,Spec Rate (Total Cost),,0
Current,4,05.01.Other Non Corporate,118844744,Other Non Corporate,,Other Non Corporate - POE,,Spec Rate (Total Cost),,0
Current,4,05.01.Other Non Corporate,118844744,Other Non Corporate,,Other Non Corporate5,,Spec Rate (Total Cost),,0
Current,4,06.01.Pass Through,704863936,Pass Through,,Pass Through - Depreciation/Amortisation,,Spec Rate (Total Cost),,0
Current,4,06.01.Pass Through,704863936,Pass Through,,Pass Through - NBV of assets sold,,Spec Rate (Total Cost),,0
Current,4,06.01.Pass Through,704863936,Pass Through,,Pass Through3,,Spec Rate (Total Cost),,0
Current,4,06.01.Pass Through,704863936,Pass Through,,Pass Through4,,Spec Rate (Total Cost),,0
Current,4,06.01.Pass Through,704863936,Pass Through,,Pass Through5,,Spec Rate (Total Cost),,0
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Assurance & Audit,,Driver Rate (),,0
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Communications & Media,,Driver Rate (),,0
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Contact Centres,,Driver Rate (),,0
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Fleet Management,,Driver Rate (),,0
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Information Management,,Driver Rate (),,0
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Legal Services,,Driver Rate (),,0
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Other Corporate Services,,Driver Rate (),,0
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Parliamentary Services,,Driver Rate (),,0
Current,4,01.01.Corporate Services,54756760,Corporate Services,,Property Services,,Driver Rate (),,0
Current,4,01.02.Financial Services,862492800,Financial Services,,Accounts Payable,,Driver Rate (),,0
Current,4,01.02.Financial Services,862492800,Financial Services,,Accounts Receivable,,Driver Rate (),,0
Current,4,01.02.Financial Services,862492800,Financial Services,,Asset Management,,Driver Rate (),,0
Current,4,01.02.Financial Services,862492800,Financial Services,,Budgeting,,Driver Rate (),,0
Current,4,01.02.Financial Services,862492800,Financial Services,,Contract Management & Procurement,,Driver Rate (),,0
Current,4,01.02.Financial Services,862492800,Financial Services,,Credit Card Management,,Driver Rate (),,0
Current,4,01.02.Financial Services,862492800,Financial Services,,Financial Policy & Advice,,Driver Rate (),,0
Current,4,01.02.Financial Services,862492800,Financial Services,,Financial Reporting,,Driver Rate (),,0
Current,4,01.02.Financial Services,862492800,Financial Services,,Ledger Management,,Driver Rate (),,0
Current,4,01.02.Financial Services,862492800,Financial Services,,Other Financial Services,,Driver Rate (),,0
Current,4,01.02.Financial Services,862492800,Financial Services,,Taxation,,Driver Rate (),,0
Current,4,01.02.Financial Services,862492800,Financial Services,,Travel,,Driver Rate (),,0
Current,4,01.02.Financial Services,862492800,Financial Services,,Treasury,,Driver Rate (),,0
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,Employee Relations,,Driver Rate (),,0
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,HR Policy & Advice,,Driver Rate (),,0
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,HR Reporting & Analysis,,Driver Rate (),,0
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,HR Strategy & Planning,,Driver Rate (),,0
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,Learning & Development,,Driver Rate (),,0
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,Other HR Services,,Driver Rate (),,0
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,Pay & Conditions,,Driver Rate (),,0
Current,4,01.03.Human Resource Services,132117152,Human Resource Services,,Recruitment,,Driver Rate (),,0
Current,4,03.01.ERP Services,965260992,ERP,,ERP - Aurion,,Driver Rate (),,0
Current,4,03.01.ERP Services,965260992,ERP,,ERP - SAP,,Driver Rate (),,0
Current,4,04.01.Major Projects,260293120,Major Projects,,Major Projects1,,Driver Rate (),,0
Current,4,04.01.Major Projects,260293120,Major Projects,,Major Projects2,,Driver Rate (),,0
Current,4,04.01.Major Projects,260293120,Major Projects,,Major Projects3,,Driver Rate (),,0
Current,4,04.01.Major Projects,260293120,Major Projects,,Major Projects4,,Driver Rate (),,0
Current,4,04.01.Major Projects,260293120,Major Projects,,Major Projects5,,Driver Rate (),,0
Current,4,05.01.Other Non Corporate,118844744,Other Non Corporate,,Other Non Corporate - Comcare Premium,,Driver Rate (),,0
Current,4,05.01.Other Non Corporate,118844744,Other Non Corporate,,Other Non Corporate - Comcover Premium,,Driver Rate (),,0
Current,4,05.01.Other Non Corporate,118844744,Other Non Corporate,,Other Non Corporate - Other,,Driver Rate (),,0
Current,4,05.01.Other Non Corporate,118844744,Other Non Corporate,,Other Non Corporate - POE,,Driver Rate (),,0
Current,4,05.01.Other Non Corporate,118844744,Other Non Corporate,,Other Non Corporate5,,Driver Rate (),,0
Current,4,06.01.Pass Through,704863936,Pass Through,,Pass Through - Depreciation/Amortisation,,Driver Rate (),,0
Current,4,06.01.Pass Through,704863936,Pass Through,,Pass Through - NBV of assets sold,,Driver Rate (),,0
Current,4,06.01.Pass Through,704863936,Pass Through,,Pass Through3,,Driver Rate (),,0
Current,4,06.01.Pass Through,704863936,Pass Through,,Pass Through4,,Driver Rate (),,0
Current,4,06.01.Pass Through,704863936,Pass Through,,Pass Through5,,Driver Rate (),,0
Current,5,01.01.Corporate Services,54756760,Corporate Services,,Assurance & Audit,,Unit Count (Hours of Service),,"10,733.11"
Current,5,01.01.Corporate Services,54756760,Corporate Services,,Communications & Media,,Unit Count (Hours of Service),,"12,130.80"
Current,5,01.01.Corporate Services,54756760,Corporate Services,,Contact Centres,,Unit Count (Jobs logged),,"89,463.00"
Current,5,01.01.Corporate Services,54756760,Corporate Services,,Fleet Management,,Unit Count (Vehicles),,26
Current,5,01.01.Corporate Services,54756760,Corporate Services,,Information Management,,Unit Count (Hours of Service),,"9,469.48"
Current,5,01.01.Corporate Services,54756760,Corporate Services,,Legal Services,,Unit Count (Hours of Service),,"16,345.93"
Current,5,01.01.Corporate Services,54756760,Corporate Services,,Other Corporate Services,,Unit Count (Hours of Service),,"9,131.87"
Current,5,01.01.Corporate Services,54756760,Corporate Services,,Parliamentary Services,,Unit Count (Parliamentary Records),,"7,197.00"
Current,5,01.01.Corporate Services,54756760,Corporate Services,,Property Services,,Unit Count (Lease Cost%),,"16,607,090.00"
Current,5,01.02.Financial Services,862492800,Financial Services,,Accounts Payable,,Unit Count (Manual Invoices),,"13,823.00"
Current,27, Ungrouped,-4, Unclassified,,Legal Services,784882944,Consultants,,"193,824.60"
Current,27, Ungrouped,-4, Unclassified,,Legal Services,784882944,Contractor Costs,,"67,016.81"
Current,27, Ungrouped,-4, Unclassified,,Legal Services,784882944,Employee Costs,,"1,564,428.00"
Current,27, Ungrouped,-4, Unclassified,,Legal Services,784882944,Supplier Costs,,"33,804.65"
Current,27, Ungrouped,-4, Unclassified,,Major Projects1,85840880,Consultants,,"78,099.40"
Current,27, Ungrouped,-4, Unclassified,,Major Projects1,85840880,Contractor Costs,,"3,373,613.00"
